,Constructor,Driver,Current Price,Start Price,Points/Million
13,Mclaren,Lando Norris,13.9,13.1,1.63
16,Red Bull,Max Verstappen,25.7,24.8,1.5
2,Alpha Tauri,Pierre Gasly,11.9,11.7,1.27
14,Mercedes,Lewis Hamilton,33.0,33.5,1.14
17,Red Bull,Sergio Pérez,18.5,18.4,1.13
8,Ferrari,Charles Leclerc,17.5,16.8,1.12
5,Alpine,Esteban Ocon,10.3,10.1,1.06
11,Haas,Mick Schumacher,5.7,5.8,1.06
15,Mercedes,George Russell,6.3,6.2,1.05
1,Alfa Romeo,Valtteri Bottas,23.3,23.6,1.02
12,Mclaren,Daniel Ricciardo,15.7,17.3,0.96
4,Alpine,Fernando Alonso,15.0,15.6,0.89
7,Aston Martin,Lance Stroll,13.2,13.9,0.6
18,Williams,Nicholas Latifi,6.4,6.5,0.53
6,Aston Martin,Sebastian Vettel,15.1,16.2,0.52
3,Alpha Tauri,Yuki Tsunoda,8.2,8.8,0.45
0,Alfa Romeo,Guanyu Zhou,,,
9,Ferrari,Carlos Sainz,,,
10,Haas,Kevin Magnussen,,,
19,Williams,Alexander Albon,,,
